Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\PCB Designs\Arduino_Sensor_Shield\Project Outputs for Arduino_Sensor_Shield\Pick Place for Layout.csv

========================================================================================================================
File Design Information:

Date:       14/05/24
Time:       23:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R9","0 Ohm","TopLayer","0402_Passive_Resistor","2350.000","255.315","90","CHIP RESISTOR - SURFACE MOUNT 0OHMS �1% 1/16W 0402 ROHS"
"R7","0 Ohm","TopLayer","0402_Passive_Resistor","2364.685","140.000","0","CHIP RESISTOR - SURFACE MOUNT 0OHMS �1% 1/16W 0402 ROHS"
"U3","MCP4725A0T-E/CH","TopLayer","SOT95P270X145-6N","980.000","1870.000","0","12 Bit Digital to Analog Converter 1 SOT-23-6"
"TP2","10x Probe TP","TopLayer","TP10x_Probe","130.000","990.000","270","Test Point 300 mil centers"
"TP1","10x Probe TP","TopLayer","TP10x_Probe","1325.000","1930.000","0","Test Point 300 mil centers"
"SW1","TL3305AF160QG","TopLayer","Switch_JLC","1830.000","1280.000","180","Tactile Switch SPST-NO Top Actuated Surface Mount"
"R10","10k","TopLayer","1206_Passive_Resitor","1760.000","1500.000","0","10 kOhms �5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"R8","1k","TopLayer","1206_Passive_Resitor","660.000","1360.000","0","1 kOhms �1% 0.5W, 1/2W Chip Resistor 1206 (3216 Metric) Anti-Sulfur, Moisture Resistant Thin Film"
"R6","4.7KOhm","TopLayer","1206_Passive_Resitor","1855.000","1960.000","270","4.7kO �1% 0.25W �100ppm/? 1206 Chip Resistor - Surface Mount RoHS"
"R5","1k","TopLayer","1206_Passive_Resitor","680.000","330.000","0","1 kOhms �1% 0.5W, 1/2W Chip Resistor 1206 (3216 Metric) Anti-Sulfur, Moisture Resistant Thin Film"
"R4","1k","TopLayer","1206_Passive_Resitor","799.000","240.000","0","1 kOhms �1% 0.5W, 1/2W Chip Resistor 1206 (3216 Metric) Anti-Sulfur, Moisture Resistant Thin Film"
"R3","4.7KOhm","TopLayer","1206_Passive_Resitor","1985.000","1960.000","270","4.7kO �1% 0.25W �100ppm/? 1206 Chip Resistor - Surface Mount RoHS"
"R2","4.7KOhm","TopLayer","1206_Passive_Resitor","2000.000","920.000","90","4.7kO �1% 0.25W �100ppm/? 1206 Chip Resistor - Surface Mount RoHS"
"R1","1k","TopLayer","1206_Passive_Resitor","700.000","1650.000","270","1 kOhms �1% 0.5W, 1/2W Chip Resistor 1206 (3216 Metric) Anti-Sulfur, Moisture Resistant Thin Film"
"MK1","CMEJ-0415-42-P","TopLayer","MIC_CMEJ-0415-42-P","612.441","120.000","180","4.0 мм, всенаправленный, монтаж на печатной плате, 2.0 В постоянного тока, Элекрет-конденсаторный микрофон"
"LS1","AT-1224-TWT-5V-2-R","TopLayer","XDCR_AT-1224-TWT-5V-2-R","1460.000","390.000","270","AUDIO TRANSDUCER 5 VP-P 87 DB 2400 HZ"
"LED3","LTST-C150CKT","TopLayer","LED","600.000","1201.000","0","Red 638nm LED Indication - Discrete 1.8V 1206 (3216 Metric)"
"LED1","LTST-C150CKT","TopLayer","LED","760.000","1820.000","90","Red 638nm LED Indication - Discrete 1.8V 1206 (3216 Metric)"
"J14","3 PIN","TopLayer","3_PIN_100mil","740.000","910.000","180","3 2.54mm Straight 1 Header,Breakaway Through Hole Pin Header & Female Header ROHS"
"J13","J_4_PIN_HEADER","TopLayer","4_PIN_100MIL","1350.000","-50.000","0","4 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J12","3 PIN","TopLayer","3_PIN_100mil","1830.000","860.000","90","3 2.54mm Straight 1 Header,Breakaway Through Hole Pin Header & Female Header ROHS"
"J11","J_4_PIN_HEADER","TopLayer","4_PIN_100MIL","1350.000","2300.000","180","4 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J10","PPTC061LFBN-RC","TopLayer","6_PIN_ARDUINO_100mil","2530.000","1450.000","90","6 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J9","PPTC061LFBN-RC","TopLayer","6_PIN_ARDUINO_100mil","2530.000","390.000","90","6 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J8","PPTC061LFBN-RC","TopLayer","6_PIN_ARDUINO_100mil","2380.000","2180.000","0","6 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J7","PPTC081LFBN-RC","TopLayer","8_PIN_ARDUINO_100MIL","2230.000","490.000","270","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J6","PPTC101LFBN-RC","TopLayer","10_PIN_ARDUINO_100MIL","2230.000","1450.000","270","10 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J5","PPTC081LFBN-RC","TopLayer","8_PIN_ARDUINO_100MIL","330.000","1190.000","270","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J4","PPTC061LFBN-RC","TopLayer","6_PIN_ARDUINO_100mil","330.000","390.000","270","6 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J3","3 PIN","TopLayer","3_PIN_100mil","130.000","250.000","270","3 2.54mm Straight 1 Header,Breakaway Through Hole Pin Header & Female Header ROHS"
"J2","3 PIN","TopLayer","3_PIN_100mil","1930.000","340.000","270","3 2.54mm Straight 1 Header,Breakaway Through Hole Pin Header & Female Header ROHS"
"J1","J_4_PIN_HEADER","TopLayer","4_PIN_100MIL","780.000","620.000","180","4 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"D6","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED","1230.000","940.000","180","Digital Series Cascade LED"
"D5","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED","1410.000","1210.000","0","Digital Series Cascade LED"
"D4","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED","1230.000","1440.000","0","Digital Series Cascade LED"
"D3","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED","1040.000","1210.000","0","Digital Series Cascade LED"
"C4","1uF","TopLayer","1206_Passive_Capacitor","550.000","240.000","0","1�F �20% 16V Ceramic Capacitor X7R 1206 (3216 Metric)"
"C3","22uF","TopLayer","1206_Passive_Capacitor","990.000","1700.000","0","22�F �20% 16V Ceramic Capacitor X5R 1206 (3216 Metric)"
